Response ID,Time Started,Date Submitted,Status,Contact ID,Legacy Comments,Comments,Language,Referer,Extended Referer,SessionID,User Agent,Extended User Agent,Tags,IP Address,Longitude,Latitude,Country,City,State/Region,Postal,Your Campus:,Your Course:,Your Course:,Your Course:,Your Course:,Your Course:,Your Course:,Your Course:,Your Course:,Your Course:,Your Course:,Your Course:,Your Course:,Your Course:,Your Course:,Your Course:,Your Course:,Your Course:,Your Course:,Your Course:,Your Course:,Your Course:,Your Course:,Your Course:,Your Course:,Your Course:,Your Course:,Your Course:,Your Course:,Your Course:,Your Course,Your Course:,Please indicate the TYPE of course this was in terms of delivery:,1. I participated in course activities that connected the course to real-world scenarios:,How much did these activities help you learn?,"2. I received feedback (e.g., on graded work, in class, at office hour visits) from my instructor:",How much did this activity help you learn?,"3. I participated in group work, activities, or collaborations:",How much did this activity help you learn?,4. I participated in IN-CLASS discussions:,How much did this activity help you learn?,5. I participated in ONLINE discussions:,How much did this activity help you learn?,6. I helped other students learn/understand course content (including presentations):,How much did this activity help you learn?,7. I attended Supplemental Instruction sessions outside of class:,How much did this activity help you learn?,8. I took placement/readiness tests before learning the course materials:,How much did this activity help you learn?,9. I listened to my instructor’s lectures:,How much did this activity help you learn?,"10.  What are the top 3 ACTIVITIES that best help you learn, whether they are on the list above or not and whether or not they were part of your course?","1. I used my campus Learning Management System (LMS)An LMS is a website a campus uses to provide course materials online.  Examples include Blackboard, Beachboard, iLearn, Moodle, and Canvas. for this course:",How much did using this technology help you learn?,2. I used an eTextbook in this course:,How much did using this technology help you learn?,"3. I used online homework or study materials/resources from publishers such as Connect, WebAssign, McGraw Hill, ALEKS, or Pearson in this course:",How much did using this technology help you learn?,4. I used virtual labs or simulations in this course:,How much did using this technology help you learn?,5. I watched or listened to my instructor's recorded or streamed audio or video lectures:,How much did using this technology help you learn?,"6. I used audio or video from an outside source for information related to the course  (for example, a YouTube video to help me better understand a key course concept):",How much did using this technology help you learn?,7. I took ONLINE quizzes or tests in this course:,How much did using this technology help you learn?,"8. I used Google tools (e.g., Google Docs, Forms, or Hangouts) for this course:",How much did using this technology help you learn?,9. I used a website created for this class by my instructor outside the LMS:,How much did using this technology help you learn?,10. I used ONLINE content from other courses or schools to study for this course:,How much did using this technology help you learn?,11. I use clickers in this course:,How much did using this technology help you learn?,"12. I used social media (e.g., Facebook or Twitter) in this course:",How much did using this technology help you learn?,"13. I used a web conferencing tool (e.g., Collaborate, Connect, Zoom, Blue Jeans, GoToMeeting or WebEx) in this course:",How much did using this technology help you learn?,"14. What are the top 3 TECHNOLOGIES that best help you learn, whether they are on the list above or not and whether or not they were part of your course?",1. It was easy to communicate with my instructor.,2. It was easy to communicate with other students in the course.,3. I felt a sense of community in this course.,4. Feeling a sense of community in my courses is important to me.,5. I understood what this course was supposed to cover – the learning objectives were clearly defined.,6. The learning activities supported the accomplishment of the stated learning objectives.,7. I understood the technical requirements and/or technology policy provided by my instructor.,8. I was able to find online help when I needed it.,9. I had access to a rubrica list of expectations for evaluating the quality of an assignment showing how I can succeed in the course OR on a project.,Please provide any comments about your course experience that you would like to share here.,Participating in an in-class discussion,Participating in an online discussion,Answering a question in class,"Taking “objective” tests (e.g., multiple choice, true/false)",Taking essay tests,Writing a high quality term paper,Explaining a concept to another student,Studying enough to understand content thoroughly,Attending class regularly,Using technology in future courses,Applying lecture content to a laboratory session,Spreading out studying instead of cramming,Completing all assignments,Keeping up with the readings,Raising my hand in class,Visiting my professor during office hours,Please provide any comments about your confidence levels after taking this course that you would like to share here.,1. Gender,Other (please specify):1. Gender,2. Race/Ethnicity:,3. Current GPA:,4. Do you receive financial aid?,5. How many units did you take this semester?,"6. On average, how many hours per week did you work this semester?","7. Do you use Assistive TechnologyAssistive Technology is tool used to increase, maintain, or improve the functional capabilities of individuals with disabilities.?",Screen reader:Please check all types of assistive technology listed below that you use:,Text-to-speech:Please check all types of assistive technology listed below that you use:,Voice recognition:Please check all types of assistive technology listed below that you use:,Magnifier:Please check all types of assistive technology listed below that you use:,Other (please specify)::Please check all types of assistive technology listed below that you use:,Other (please specify)::Please check all types of assistive technology listed below that you use:,I would like to enter my name and email address for a chance to win one of 40 $10 Amazon gift cards. I understand that providing my name here will NOT in any way compromise the anonymity of my responses.,I would like to participate in a brief follow-up interview via video conference for an additional opportunity to win a $10 Starbucks gift card.,Name,Email
9,"May 23, 2017 8:53:04 AM","May 23, 2017 8:59:24 AM",Complete,102932452,,,English,,,75985041355384558a42b6056ea4c10a,"Mozilla/5.0 (Linux; Android 7.0; SAMSUNG-SM-G935A Build/NRD90M) AppleWebKit/537.36 (KHTML, like Geck","Mozilla/5.0 (Linux; Android 7.0; SAMSUNG-SM-G935A Build/NRD90M) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/5.0 Chrome/51.0.2704.106 Mobile Safari/537.36",,removed for confidentiality,,,United States,Pomona,CA,removed for confidentiality,Pomona,,,,,,,,,,,,,,,,,,MATH 201Wu,,,,,,,,,,,,,,100% in-person,NA,,Sometimes,Not much,Always,A lot,Sometimes,Not much,Never,,Often,A lot,Always,A lot,Never,,Rarely,Not much,"Group learning, notes, online lecture ",Never,,Never,,Never,,Never,,Rarely,Not much,Sometimes,Some,Never,,Never,,Always,A lot,Never,,Always,A lot,Never,,Never,,"Clicker, professor website",Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,No change in confidence,No change in confidence,More Confident,More Confident,N/A,N/A,More Confident,More Confident,More Confident,More Confident,More Confident,More Confident,More Confident,More Confident,More Confident,More Confident,,F,,Hispanic/Latino,2.51-3.00,Yes,12-15,21-30,No,,,,,,,Yes,No,removed for confidentiality,
13,"May 23, 2017 8:58:54 AM","May 23, 2017 9:10:38 AM",Complete,102932721,,,English,,,eb77113b16f1ef6dfb95928229a50276,"Mozilla/5.0 (Linux; Android 4.4.2; SM-G386T Build/KOT49H) AppleWebKit/537.36 (KHTML, like Gecko) Chr","Mozilla/5.0 (Linux; Android 4.4.2; SM-G386T Build/KOT49H) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",,x,x,x,United States,Pomona,CA,x,Pomona,,,,,,,,,,,,,,,,,,IE 245Liles,,,,,,,,,,,,,,100% in-person,Always,A lot,Sometimes,Some,NA,,NA,,NA,,Never,,NA,,Never,,Often,Some,"Doing a hands on project, relisten to lecture from recordings, and taking notes",NA,,Never,,NA,,NA,,Often,Some,Never,,Always,Some,Never,,NA,,Never,,NA,,NA,,NA,,"Audio recordings, website activities",Not Applicable/No Opinion,Not Applicable/No Opinion,Not Applicable/No Opinion,Disagree,Neutral,Agree,Agree,Strongly Disagree,Agree,,Less Confident,Less Confident,Less Confident,Less Confident,Less Confident,Less Confident,Less Confident,Less Confident,More Confident,No change in confidence,N/A,Less Confident,No change in confidence,N/A,Less Confident,Less Confident,"I feel not confident at all, I'm gonna fail this class no matter how hard I study. Whatever I study or learn seems to be wrong.",DTS,,Hispanic/Latino,3.51-4.00,Yes,16-18,0,No,,,,,,,Yes,Yes,x,x
16,"May 23, 2017 9:06:01 AM","May 23, 2017 9:14:14 AM",Complete,102932781,,,English,,,25e81eb6a2280034fecffc159c0dd68a,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_1 like Mac OS X) AppleWebKit/603.1.30 (KHTML, like Gecko) Ve","Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_1 like Mac OS X) AppleWebKit/603.1.30 (KHTML, like Gecko) Version/10.0 Mobile/14E304 Safari/602.1",,x,x,x,United States,San Luis Obispo,CA,x,San Luis Obispo,,,,,,,,,,,,,,,,,,,,,,,,,,EE 120 – Kim,,,,,,100% in-person,Sometimes,Not much,Often,A lot,Often,Some,Often,Not much,NA,,Never,,Always,A lot,Never,,Always,A lot,,Often,Some,Often,Some,Never,,Never,,Never,,Sometimes,Some,Never,,Never,,Never,,Never,,Never,,Never,,Never,,,Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Neutral,,No change in confidence,More Confident,More Confident,More Confident,No change in confidence,No change in confidence,More Confident,More Confident,More Confident,No change in confidence,No change in confidence,No change in confidence,More Confident,No change in confidence,No change in confidence,More Confident,,F,,White/Caucasian,3.51-4.00,Yes,16-18,0,No,,,,,,,Yes,Yes,x,x
18,"May 23, 2017 9:24:53 AM","May 23, 2017 9:33:34 AM",Complete,102932758,,,English,,,38f1c2a193207a7eb3fc0dbae79657c1,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_2_1 like Mac OS X) AppleWebKit/602.4.6 (KHTML, like Gecko) Mob","Mozilla/5.0 (iPhone; CPU iPhone OS 10_2_1 like Mac OS X) AppleWebKit/602.4.6 (KHTML, like Gecko) Mobile/14D27",,x,x,x,United States,San Bernardino,CA,x,San Bernardino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100% online,Sometimes,Some,Always,Some,Never,,NA,,NA,,NA,,Never,,Never,,NA,,,NA,,Often,Some,Often,Some,Rarely,Some,Often,Some,Often,Some,Always,Some,Rarely,Not much,Often,Some,Sometimes,Some,NA,,Never,,Never,,"YouTube, other school web pages ",Agree,Neutral,Neutral,Neutral,Strongly Agree,Neutral,Agree,Agree,Agree,,No change in confidence,N/A,N/A,No change in confidence,N/A,N/A,No change in confidence,No change in confidence,N/A,No change in confidence,N/A,No change in confidence,No change in confidence,No change in confidence,N/A,No change in confidence,,F,,Hispanic/Latino,3.01-3.50,Yes,12-15,11-20,No,,,,,,,Yes,No,x,x
20,"May 23, 2017 9:36:04 AM","May 23, 2017 9:44:08 AM",Complete,102932621,,,English,,,cd99dee42e26ed8e46dd3f708c041135,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_1 like Mac OS X) AppleWebKit/603.1.30 (KHTML, like Gecko) Ve","Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_1 like Mac OS X) AppleWebKit/603.1.30 (KHTML, like Gecko) Version/10.0 Mobile/14E304 Safari/602.1",,x,x,x,United States,Pomona,CA,x,Pomona,,,,,,,,,,,,,,,,,,ECON-479Jia,,,,,,,,,,,,,,100% in-person,Always,A lot,Always,A lot,Always,A lot,Often,A lot,Rarely,Some,Always,A lot,Always,A lot,Never,,Always,A lot,,Always,A lot,Often,Some,Always,A lot,Always,Some,Often,Some,Rarely,Some,Always,A lot,Always,A lot,Always,A lot,Always,A lot,Rarely,Some,Never,,Rarely,Some,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,More Confident,More Confident,More Confident,More Confident,No change in confidence,No change in confidence,More Confident,More Confident,More Confident,More Confident,More Confident,More Confident,More Confident,More Confident,More Confident,More Confident,,F,,White/Caucasian,3.01-3.50,Yes,16-18,11-20,No,,,,,,,Yes,No,x,
22,"May 23, 2017 9:51:52 AM","May 23, 2017 10:00:14 AM",Complete,102932448,,,English,,,058dc1275c69a28112aaa8fd95ccb396,"Mozilla/5.0 (Linux; Android 7.0; SAMSUNG-SM-G925A Build/NRD90M) AppleWebKit/537.36 (KHTML, like Geck","Mozilla/5.0 (Linux; Android 7.0; SAMSUNG-SM-G925A Build/NRD90M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",,x,x,x,United States,Pomona,CA,x,Pomona,,,,,,,,,,,,,,,,,,MATH 201Wu,,,,,,,,,,,,,,100% in-person,Rarely,Some,Often,Some,Often,A lot,Often,Some,NA,,Sometimes,A lot,Sometimes,A lot,Rarely,Some,Always,A lot,Homework extra credit Clicker questions Sample exams,Often,Some,Often,A lot,Always,Some,NA,,Sometimes,Some,Sometimes,Some,NA,,Never,,Often,Some,Never,,Always,A lot,NA,,Sometimes,A lot,Iclicker Sampling Educator,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Not Applicable/No Opinion,,More Confident,More Confident,More Confident,More Confident,More Confident,N/A,More Confident,More Confident,No change in confidence,More Confident,No change in confidence,More Confident,More Confident,No change in confidence,No change in confidence,More Confident,,F,,White/Caucasian,3.01-3.50,No,12-15,1-10,No,,,,,,,Yes,Yes,x,x
23,"May 23, 2017 10:00:52 AM","May 23, 2017 10:12:15 AM",Complete,102932307,,,English,,,0047a866313e8bde29f1b43856970ce9,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:53.0) Gecko/20100101 Firefox/53.0,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:53.0) Gecko/20100101 Firefox/53.0,,x,x,x,United States,Pomona,CA,x,Pomona,,,,,,,,,,,,,,,,,,ECON-479Jia,,,,,,,,,,,,,,100% in-person,Sometimes,Some,Always,Some,NA,,Sometimes,Some,NA,,Rarely,Not much,Never,,Never,,Always,A lot,"Class lectures, Class examples, homework practice",Always,A lot,Always,Some,Always,A lot,NA,,Sometimes,A lot,Never,,NA,,Never,,Always,A lot,Never,,NA,,Sometimes,Not much,Never,,"LMS, McGraw-Hill, Learnsmart",Agree,Neutral,Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,,Less Confident,N/A,More Confident,No change in confidence,Less Confident,N/A,No change in confidence,More Confident,More Confident,No change in confidence,N/A,No change in confidence,No change in confidence,No change in confidence,No change in confidence,More Confident,,F,,Asian,2.51-3.00,Yes,12-15,1-10,No,,,,,,,Yes,No,x,x
27,"May 23, 2017 10:26:33 AM","May 23, 2017 10:36:11 AM",Complete,102932513,,,English,,,f49aafab9bfb82eb4737af5351a47ba6,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",,x,x,x,United States,Pomona,CA,x,Pomona,,,,,,,,,,,,,,,,,,MATH 201Wu,,,,,,,,,,,,,,100% in-person,Sometimes,Some,Always,A lot,Sometimes,Some,Rarely,Not much,NA,,Rarely,Some,Never,,NA,,Always,A lot,"Practicing problems, receiving feedback, working with another student",NA,,Always,A lot,Always,Some,NA,,Sometimes,Some,Sometimes,Some,NA,,NA,,Always,Some,NA,,Always,Some,NA,,NA,,"iClicker, online homework, Khan Academy",Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Not Applicable/No Opinion,Do not procrastinate. PRACTICE PRACTICE PRACTICE,N/A,N/A,N/A,N/A,N/A,N/A,More Confident,More Confident,More Confident,No change in confidence,No change in confidence,More Confident,More Confident,More Confident,No change in confidence,More Confident,We can all learn from one another,F,,Asian,3.01-3.50,Yes,16-18,0,No,,,,,,,Yes,Yes,x,x
28,"May 23, 2017 10:43:46 AM","May 23, 2017 10:53:42 AM",Complete,102932103,,,English,,,ad4c89159eea1a09325945aed07bec95,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_1 like Mac OS X) AppleWebKit/603.1.30 (KHTML, like Gecko) Ve","Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_1 like Mac OS X) AppleWebKit/603.1.30 (KHTML, like Gecko) Version/10.0 Mobile/14E304 Safari/602.1",,x,x,x,United States,San Leandro,CA,x,East Bay,,,,,,,GEO 101 - Hark,,,,,,,,,,,,,,,,,,,,,,,,,100% in-person,Always,A lot,Sometimes,Some,Often,A lot,Often,A lot,Never,,Rarely,Not much,Never,,Never,,Always,A lot,"Group work, presentation, outside lectures, and homework.",Never,,Always,A lot,Never,,Never,,Often,A lot,Often,A lot,Rarely,Not much,NA,,Always,A lot,Always,A lot,NA,,NA,,NA,,"E-learning, tophat, and cengage.",Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Strongly Agree,Strongly Agree,,Less Confident,More Confident,N/A,No change in confidence,Less Confident,Less Confident,More Confident,No change in confidence,More Confident,More Confident,More Confident,More Confident,More Confident,No change in confidence,Less Confident,Less Confident,,M,,Asian,3.01-3.50,No,12-15,0,No,,,,,,,Yes,Yes,,x
29,"May 23, 2017 10:45:50 AM","May 23, 2017 11:13:36 AM",Complete,102932054,,,English,,,1805db539a657975ecc723f7a361c62b,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.79","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.79 Safari/537.36 Edge/14.14393",,x,x,x,United States,Hayward,CA,x,East Bay,,,,,,,GEO 101 - Hark,,,,,,,,,,,,,,,,,,,,,,,,,100% in-person,Always,A lot,Sometimes,None,Sometimes,A lot,Often,Some,Sometimes,None,Often,Not much,Sometimes,A lot,Sometimes,Some,NA,,Debates lecture videos,Always,None,Always,Not much,NA,,Rarely,None,NA,,Often,Not much,Always,None,Often,None,Always,None,Never,,Never,,Never,,NA,,"the book on cengage youtube videos really no technology helped me  didn't matter how long I read or watched, I learn from people interaction not artificial Intellegence",Strongly Agree,Neutral,Neutral,Strongly Agree,Neutral,Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,"really no technology helped me  didn't matter how long I read or watched, I learn from people interaction not artificial Intellegence. technology distracts me",More Confident,Less Confident,More Confident,More Confident,No change in confidence,N/A,More Confident,No change in confidence,More Confident,Less Confident,N/A,No change in confidence,No change in confidence,No change in confidence,More Confident,N/A,"my confidence was higher in person because I knew I couldn't cheat, so I actually studied the material. I did horribly on online stuff because I could just look up the answer so I didn't study, but then my morals got in the way and I bombed my school work and quizzes. most people just cheat there was cheating all around me and because I couldn't due to moral reasons and didn't study I almost failed and my confidence lowered",F,,Decline to state,3.51-4.00,Yes,16-18,More than 40,No,,,,,,,Yes,,x,x
